שם ראשי,תואר,שם משני,קבוצה,קבוצה נוספת,סוג,קוד,שכונה
רחוב 1,,רב 1,קבוצה א,,רחוב,1001,שכונה א
רחוב 2,,רב 2,קבוצה א,,רחוב,1002,שכונה א
רחוב 3,,רב 3,קבוצה א,,רחוב,1003,שכונה א
רחוב 4,,רב 4,קבוצה א,,רחוב,1004,שכונה א
רחוב 5,,רב 5,קבוצה א,,רחוב,1005,שכונה א
רחוב 6,,רב 6,קבוצה א,,רחוב,1006,שכונה א
רחוב 7,,רב 7,קבוצה א,,רחוב,1007,שכונה א
רחוב 8,,רב 8,קבוצה א,,רחוב,1008,שכונה א
רחוב 9,,רב 9,קבוצה א,,רחוב,1009,שכונה א
רחוב 10,,רב 10,קבוצה א,,רחוב,1010,שכונה א
רחוב 11,,רב 11,קבוצה ב,,רחוב,1011,שכונה ב
רחוב 12,,רב 12,קבוצה ב,,רחוב,1012,שכונה ב
רחוב 13,,רב 13,קבוצה ב,,רחוב,1013,שכונה ב
רחוב 14,,רב 14,קבוצה ב,,רחוב,1014,שכונה ב
רחוב 15,,רב 15,קבוצה ב,,רחוב,1015,שכונה ב
רחוב 16,,רב 16,קבוצה ב,,רחוב,1016,שכונה ב
רחוב 17,,רב 17,קבוצה ב,,רחוב,1017,שכונה ב
רחוב 18,,רב 18,קבוצה ב,,רחוב,1018,שכונה ב
רחוב 19,,רב 19,קבוצה ב,,רחוב,1019,שכונה ב
רחוב 20,,רב 20,קבוצה ב,,רחוב,1020,שכונה ב
רחוב 21,,רב 21,קבוצה ג,,רחוב,1021,שכונה ג
רחוב 22,,רב 22,קבוצה ג,,רחוב,1022,שכונה ג
רחוב 23,,רב 23,קבוצה ג,,רחוב,1023,שכונה ג
רחוב 24,,רב 24,קבוצה ג,,רחוב,1024,שכונה ג
רחוב 25,,רב 25,קבוצה ג,,רחוב,1025,שכונה ג
רחוב 26,,רב 26,קבוצה ג,,רחוב,1026,שכונה ג
רחוב 27,,רב 27,קבוצה ג,,רחוב,1027,שכונה ג
רחוב 28,,רב 28,קבוצה ג,,רחוב,1028,שכונה ג
רחוב 29,,רב 29,קבוצה ג,,רחוב,1029,שכונה ג
רחוב 30,,רב 30,קבוצה ג,,רחוב,1030,שכונה ג
רחוב 31,,רב 31,קבוצה ד,,רחוב,1031,שכונה ד
רחוב 32,,רב 32,קבוצה ד,,רחוב,1032,שכונה ד
רחוב 33,,רב 33,קבוצה ד,,רחוב,1033,שכונה ד
רחוב 34,,רב 34,קבוצה ד,,רחוב,1034,שכונה ד
רחוב 35,,רב 35,קבוצה ד,,רחוב,1035,שכונה ד
רחוב 36,,רב 36,קבוצה ד,,רחוב,1036,שכונה ד
רחוב 37,,רב 37,קבוצה ד,,רחוב,1037,שכונה ד
רחוב 38,,רב 38,קבוצה ד,,רחוב,1038,שכונה ד
רחוב 39,,רב 39,קבוצה ד,,רחוב,1039,שכונה ד
רחוב 40,,רב 40,קבוצה ד,,רחוב,1040,שכונה ד
רחוב 41,,רב 41,קבוצה ה,,רחוב,1041,שכונה ה
רחוב 42,,רב 42,קבוצה ה,,רחוב,1042,שכונה ה
רחוב 43,,רב 43,קבוצה ה,,רחוב,1043,שכונה ה
רחוב 44,,רב 44,קבוצה ה,,רחוב,1044,שכונה ה
רחוב 45,,רב 45,קבוצה ה,,רחוב,1045,שכונה ה
רחוב 46,,רב 46,קבוצה ה,,רחוב,1046,שכונה ה
רחוב 47,,רב 47,קבוצה ה,,רחוב,1047,שכונה ה
רחוב 48,,רב 48,קבוצה ה,,רחוב,1048,שכונה ה
רחוב 49,,רב 49,קבוצה ה,,רחוב,1049,שכונה ה
רחוב 50,,רב 50,קבוצה ה,,רחוב,1050,שכונה ה
